Bin,Classification,Genome_Length,Completeness,Redundancy
3300026302-bin.31,o__Burkholderiales,3.411196,99.25658454,0.962900028
3300026302-bin.32,p__Bacteroidetes,3.899556,99.52380952,0
3300026302-bin.46,f__Xanthomonadaceae,3.641589,99.95073892,0.890804598
3300026302-bin.47,f__Xanthomonadaceae,2.992856,99.02298851,0
3300026302-bin.52,o__Clostridiales,2.542418,96.45390071,1.773049645
3300026302-bin.58,c__Betaproteobacteria,3.799466,96.1492891,6.778498379
3300026302-bin.59,f__Xanthomonadaceae,3.663872,98.09854322,0.882594417
3300026302-bin.61,f__Rhodobacteraceae,4.773805,99.09090909,1.186868687
3300026302-bin.62,k__Bacteria,5.174124,97.43589744,0.56980057
3300026303-bin.24,o__Rhizobiales,5.399698,94.19584955,1.418071768
3300026303-bin.26,f__Rhodobacteraceae,4.258959,98.85353535,1.790986791
3300026303-bin.27,f__Xanthomonadaceae,2.498281,97.89655172,1.028735632
3300026303-bin.32,f__Xanthomonadaceae,4.41265,99.8817734,0.666666667
3300026303-bin.38,o__Rhizobiales,3.649163,94.89816195,1.051912568
3300026303-bin.42,p__Bacteroidetes,4.147469,98.02955665,0
3300026303-bin.46,o__Actinomycetales,4.070868,99.45355191,0.546448087
3300026303-bin.53,c__Alphaproteobacteria,2.662556,99.35064935,0.162337662
